Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
683,11,0,1,,#олимпикс_подборка,2021-12-06 15:27:57,2021-12-06,15:27:57,c 14 до 18 часов,1326
1154,18,0,2,,#державинский_форум,2021-11-25 21:56:52,2021-11-25,21:56:52,c 18 до 22 часов,1326
1228,20,0,13,,#олимпикс_подборка,2021-11-22 20:45:00,2021-11-22,20:45:00,c 18 до 22 часов,1326
1300,19,0,3,,#державинский_форум,2021-11-22 14:24:43,2021-11-22,14:24:43,c 14 до 18 часов,1326
816,25,1,2,,#державинский_форум,2021-11-20 23:53:02,2021-11-20,23:53:02,после 22 часов,1326
1134,14,0,3,,#державинский_форум,2021-11-17 18:29:52,2021-11-17,18:29:52,c 18 до 22 часов,1326
698,4,0,2,83.0,#олимпикс_опрос,2021-11-11 17:05:49,2021-11-11,17:05:49,c 14 до 18 часов,1326
988,29,0,30,,#олимпикс_подборка,2021-11-07 20:45:00,2021-11-07,20:45:00,c 18 до 22 часов,1326
769,18,0,9,,#олимпикс_подборка,2021-11-07 00:58:04,2021-11-07,00:58:04,до 10 утра,1326
1016,28,0,24,,#олимпикс_подборка,2021-11-01 23:32:08,2021-11-01,23:32:08,после 22 часов,1326
669,11,0,2,,#олимпикс_термин,2021-10-24 22:14:27,2021-10-24,22:14:27,после 22 часов,1326
619,5,0,1,39.0,#олимпикс_опрос,2021-10-24 01:42:54,2021-10-24,01:42:54,до 10 утра,1326
964,37,1,44,,#олимпикс_подборка,2021-10-21 22:49:14,2021-10-21,22:49:14,после 22 часов,1326
634,12,0,1,,#олимпикс_фильмы,2021-10-16 21:58:00,2021-10-16,21:58:00,c 18 до 22 часов,1326
559,5,0,0,,,2021-10-13 14:00:01,2021-10-13,14:00:01,c 14 до 18 часов,1326
860,26,0,5,,,2021-10-08 17:00:00,2021-10-08,17:00:00,c 14 до 18 часов,1326
838,22,0,8,,,2021-10-04 19:00:02,2021-10-04,19:00:02,c 18 до 22 часов,1326
868,15,0,6,,#step_1,2021-09-25 18:26:06,2021-09-25,18:26:06,c 18 до 22 часов,1326
1070,32,1,17,,,2021-09-25 16:00:01,2021-09-25,16:00:01,c 14 до 18 часов,1326
520,6,0,0,,,2021-09-24 16:57:02,2021-09-24,16:57:02,c 14 до 18 часов,1326
721,13,0,2,,,2021-09-17 18:00:03,2021-09-17,18:00:03,c 18 до 22 часов,1326
491,8,0,0,,,2021-09-15 15:58:07,2021-09-15,15:58:07,c 14 до 18 часов,1326
439,6,0,0,,,2021-09-15 10:48:29,2021-09-15,10:48:29,c 10 до 14 часов,1326
4821,26,1,11,,,2021-09-10 18:14:37,2021-09-10,18:14:37,c 18 до 22 часов,1326
1524,30,4,5,,,2021-09-05 19:19:49,2021-09-05,19:19:49,c 18 до 22 часов,1326
1268,12,1,5,,#олимпикс_выездная,2021-07-15 17:39:31,2021-07-15,17:39:31,c 14 до 18 часов,1326
1107,17,1,6,,#олимпикс_подборка,2021-07-14 16:42:51,2021-07-14,16:42:51,c 14 до 18 часов,1326
1002,12,0,7,,#олимпикс_рекомендация,2021-06-30 12:21:32,2021-06-30,12:21:32,c 10 до 14 часов,1326
1111,16,1,13,,#олимпикс_подборка,2021-06-26 19:45:19,2021-06-26,19:45:19,c 18 до 22 часов,1326
1053,17,0,2,,#олимпикс_термин,2021-06-08 19:19:24,2021-06-08,19:19:24,c 18 до 22 часов,1326
1043,17,0,10,,#олимпикс_статья,2021-06-07 21:31:57,2021-06-07,21:31:57,c 18 до 22 часов,1326
919,7,0,1,,#олимпикс_термин,2021-05-25 16:45:56,2021-05-25,16:45:56,c 14 до 18 часов,1326
15098,10,0,12,,#олимпикс_выездная,2021-05-22 17:05:29,2021-05-22,17:05:29,c 14 до 18 часов,1326
1236,24,2,21,,#олимпикс_подборка,2021-05-16 17:36:41,2021-05-16,17:36:41,c 14 до 18 часов,1326
744,11,0,2,,#олимпикс_термин,2021-05-14 15:44:03,2021-05-14,15:44:03,c 14 до 18 часов,1326
611,8,0,1,,#олимпикс_выездная,2021-05-13 15:27:38,2021-05-13,15:27:38,c 14 до 18 часов,1326
615,6,0,1,,#олимпикс_термин,2021-05-11 17:40:00,2021-05-11,17:40:00,c 14 до 18 часов,1326
26985,40,0,75,,#олимпикс_выездная,2021-05-04 19:35:28,2021-05-04,19:35:28,c 18 до 22 часов,1326
924,14,0,7,,#олимпикс_выездная,2021-05-02 17:05:38,2021-05-02,17:05:38,c 14 до 18 часов,1326
715,4,0,2,,#олимпикс_термин,2021-04-26 12:46:12,2021-04-26,12:46:12,c 10 до 14 часов,1326
808,21,0,10,,#олимпикс_подборка,2021-04-25 19:08:02,2021-04-25,19:08:02,c 18 до 22 часов,1326
877,20,0,3,,#олимпикс_марафон,2021-04-24 13:28:41,2021-04-24,13:28:41,c 10 до 14 часов,1326
639,6,0,1,,,2021-04-23 12:17:47,2021-04-23,12:17:47,c 10 до 14 часов,1326
1291,22,2,2,,#олимпикс_интервью,2021-04-22 13:21:57,2021-04-22,13:21:57,c 10 до 14 часов,1326
9814,14,0,13,,#олимпикс_выездная,2021-04-21 19:09:59,2021-04-21,19:09:59,c 18 до 22 часов,1326
